Empirical Data_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Base year prices for selected items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Current year prices for same items,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25,B26,B27,B28,B29,B30,B31,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45,B46,B47,B48,B49,B50,B51,B52,B53,B54,B55,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C52,C53,C54,C55
11.39,51.24,7.97,3.99,3.42,2.56,2.1,0.83,1.47,1.88,11.26,0.4,4.56,0.79,1.23,7.17,3.07,8.34,79.71,1.59,22775.2,797.16,599.43,1528.96,1131.07,246.44,0.11,33.96,32.36,20.56,11.39,86.2,37.05,94.81,117.38,5385.4,3732.12,2514.82,1.89,4.1,2.28,34.16,2.6,2.71,1.19,0.97,3.04,2.38,2.99,1.81,1.29,13.72,22749.23,341.65,17501.36,21.39,61.24,15.97,13.99,13.42,11.56,12.1,10.83,11.47,11.88,21.26,10.4,4.56,0.79,1.23,7.17,13.07,8.34,89.71,1.59,22785.2,806.16,609.43,1538.96,1139.07,256.44,10.11,43.96,42.36,24.56,21.39,96.2,47.05,104.81,127.38,5395.4,3742.12,2524.82,6.89,14.1,12.28,44.16,12.6,9.71,11.19,5.97,13.04,8.38,12.99,11.81,10.29,23.72,22750.23,346.65,17506.36
11.39,34.16,6.83,3.99,4.56,1.65,0.57,1.32,0.98,3.31,9.12,0.9,6.83,1.43,1.76,5.12,1.48,7.2,34.16,1.8,20497.68,328.83,278.6,544.56,480.26,163.49,0.39,33.93,35.06,17.8,9.11,82.75,33.04,83.12,99.6,1612.03,1423.88,779.32,4.83,3.87,0.9,12.53,1.56,1.13,0.88,0.79,3.27,1.8,1.49,1.67,0.85,10.06,21018.67,376.8,7632.43,21.39,44.16,14.83,13.99,14.56,10.65,10.57,11.32,10.98,13.31,19.12,10.9,6.83,1.43,1.76,5.12,11.48,7.2,44.16,1.8,20507.68,337.83,288.6,554.56,488.26,173.49,10.39,43.93,45.06,21.8,19.11,92.75,43.04,93.12,109.6,1622.03,1433.88,789.32,9.83,13.87,10.9,22.53,11.56,8.13,10.88,5.79,13.27,7.8,11.49,11.67,9.85,20.06,21019.67,381.8,7637.43
6.37,50.99,4.46,6.37,7.65,1.22,0.98,2.86,2.39,3.48,18.65,1.98,15.3,1.67,2.17,7.27,1.27,10.34,63.74,2.01,31233.07,2299.07,1531.6,4733.75,3009.07,191.71,0.07,27.28,76.01,7.28,12.75,79.21,38.42,82.7,130.49,29177.93,18705.88,2434.06,2.37,3.06,1.08,13,3.28,2.72,2.45,1.64,4.54,2.11,2.9,2.27,2.42,21.06,27769.28,681.36,15754.59,16.37,60.99,12.46,16.37,17.65,10.22,10.98,12.86,12.39,13.48,28.65,11.98,15.3,1.67,2.17,7.27,11.27,10.34,73.74,2.01,31243.07,2308.07,1541.6,4743.75,3017.07,201.71,10.07,37.28,86.01,11.28,22.75,89.21,48.42,92.7,140.49,29187.93,18715.88,2444.06,7.37,13.06,11.08,23,13.28,9.72,12.45,6.64,14.54,8.11,12.9,12.27,11.42,31.06,27770.28,686.36,15759.59
5.84,28.33,5.31,1.42,1.59,1.02,0.72,0.78,0.7,1.76,5.9,0.36,4.25,0.8,1.11,4.25,1.24,4.77,33.64,1.38,19609.95,434.05,320.47,772.32,534.56,171.34,0.1,14.17,35.61,11.68,6.02,63.46,30.58,79.02,89.61,2174.51,1330.66,701.8,5.64,2.48,1.06,15.94,1.11,1.28,0.66,0.81,1.4,1.03,1.79,1.45,0.65,8.4,19652.89,312.6,8025.57,15.84,38.33,13.31,11.42,11.59,10.02,10.72,10.78,10.7,11.76,15.9,10.36,4.25,0.8,1.11,4.25,11.24,4.77,43.64,1.38,19619.95,443.05,330.47,782.32,542.56,181.34,10.1,24.17,45.61,15.68,16.02,73.46,40.58,89.02,99.61,2184.51,1340.66,711.8,10.64,12.48,11.06,25.94,11.11,8.28,10.66,5.81,11.4,7.03,11.79,11.45,9.65,18.4,19653.89,317.6,8030.57
19.84,90.45,12.79,9.04,8.22,2.53,2.03,1.28,2.92,5.07,14.27,1.84,20.56,2.82,2.79,10.69,3.78,16.75,101.13,1.81,27955.96,1544.82,1274.46,2359.06,1938.34,101.22,0.17,59.67,60.36,33.87,12.33,113.54,59.25,149.61,198.87,4597.06,3498.42,3094.09,6.28,5.67,2.47,65.12,2.38,2.54,2.08,2.28,4.47,2.98,4.13,2.14,1.55,24.61,30629.74,281,16444.68,29.84,100.45,20.79,19.04,18.22,11.53,12.03,11.28,12.92,15.07,24.27,11.84,20.56,2.82,2.79,10.69,13.78,16.75,111.13,1.81,27965.96,1553.82,1284.46,2369.06,1946.34,111.22,10.17,69.67,70.36,37.87,22.33,123.54,69.25,159.61,208.87,4607.06,3508.42,3104.09,11.28,15.67,12.47,75.12,12.38,9.54,12.08,7.28,14.47,8.98,14.13,12.14,10.55,34.61,30630.74,286,16449.68
2.1,9.82,3.51,1.68,2.81,0.41,0.2,0.64,0.41,0.87,4.61,0.39,8.42,1.49,2.34,3.51,0.28,3.01,9.54,1.09,11220.89,159.74,98.48,377.61,230.64,33.28,0.01,12.96,19.36,6.6,3.51,32.02,31.94,47.44,36.11,1374.98,688.79,454.21,9.39,0.7,0.21,0.98,1.82,0.92,0.31,0.48,1.46,0.7,0.42,0.68,0.38,4.42,22364.4,66.03,2039,12.1,19.82,11.51,11.68,12.81,9.41,10.2,10.64,10.41,10.87,14.61,10.39,8.42,1.49,2.34,3.51,10.28,3.01,19.54,1.09,11230.89,168.74,108.48,387.61,238.64,43.28,10.01,22.96,29.36,10.6,13.51,42.02,41.94,57.44,46.11,1384.98,698.79,464.21,14.39,10.7,10.21,10.98,11.82,7.92,10.31,5.48,11.46,6.7,10.42,10.68,9.38,14.42,22365.4,71.03,2044
1.76,10.57,3.17,2.47,3.52,0.62,0.28,1.22,1.06,1.33,7.44,0.43,21.15,1.94,2.67,1.76,0.28,3.12,12.69,0.61,31721.42,256.76,143.05,555.86,319.96,62.51,0.08,33.01,27.59,6.7,3.52,32.7,25.05,61.84,62.46,1207.27,678.56,340.1,8.44,0.49,0.35,2.96,2.55,2.01,1.37,0.91,1.91,0.87,0.99,1.25,1.78,8.26,26148.47,72.07,6815.34,11.76,20.57,11.17,12.47,13.52,9.62,10.28,11.22,11.06,11.33,17.44,10.43,21.15,1.94,2.67,1.76,10.28,3.12,22.69,0.61,31731.42,265.76,153.05,565.86,327.96,72.51,10.08,43.01,37.59,10.7,13.52,42.7,35.05,71.84,72.46,1217.27,688.56,350.1,13.44,10.49,10.35,12.96,12.55,9.01,11.37,5.91,11.91,6.87,10.99,11.25,10.78,18.26,26149.47,77.07,6820.34
4.75,19,4.75,0.71,1.19,0.5,0.25,0.77,0.42,2.03,4.51,0.42,1.19,0.69,1.14,3.33,0.24,3.26,11.88,0.24,35625.22,499.28,294.53,1116.08,644.09,32.56,0.02,27.65,30.53,18.42,3,45.12,38.15,139.11,75.38,2083.11,1010.26,455.87,19.43,0.24,0.24,4.75,1.24,1.14,0.63,0.6,2.31,3.17,0.88,1.85,0.61,13.39,56606.44,141.93,2124.71,14.75,29,12.75,10.71,11.19,9.5,10.25,10.77,10.42,12.03,14.51,10.42,1.19,0.69,1.14,3.33,10.24,3.26,21.88,0.24,35635.22,508.28,304.53,1126.08,652.09,42.56,10.02,37.65,40.53,22.42,13,55.12,48.15,149.11,85.38,2093.11,1020.26,465.87,24.43,10.24,10.24,14.75,11.24,8.14,10.63,5.6,12.31,9.17,10.88,11.85,9.61,23.39,56607.44,146.93,2129.71
5.95,20.99,6.75,2,2,0.43,0.22,1.14,0.92,1.62,5.51,0.64,15,1.93,1.91,2.05,0.43,3.97,30,0.54,15000,371.3,251.12,670.5,437.89,104.66,0.11,40.3,43.21,16.34,8.39,30.03,26.66,56.78,41.91,1289.41,730.11,560.97,10.88,2.53,2,9.29,1.13,1.05,0.63,0.77,1.88,1.44,0.71,1.08,0.61,11.52,16457.78,117.88,2606.9,15.95,30.99,14.75,12,12,9.43,10.22,11.14,10.92,11.62,15.51,10.64,15,1.93,1.91,2.05,10.43,3.97,40,0.54,15010,380.3,261.12,680.5,445.89,114.66,10.11,50.3,53.21,20.34,18.39,40.03,36.66,66.78,51.91,1299.41,740.11,570.97,15.88,12.53,12,19.29,11.13,8.05,10.63,5.77,11.88,7.44,10.71,11.08,9.61,21.52,16458.78,122.88,2611.9
17.08,64.91,9.11,5.69,5.69,1.83,1.48,1.13,1.6,2.97,9.02,1.49,11.39,2.35,2.67,13.67,2.85,8.95,125.26,1.62,27330.25,1282.12,1095.27,2233.38,1843.97,154.84,0.27,57.45,44.67,17.55,11.39,83.28,39.19,87.54,97.33,4933.4,3211.31,2550.16,3.81,4.56,1.3,27.33,2.22,2.23,1.56,1.06,3.35,1.78,2.72,1.86,1.17,9.8,28444.2,971.16,7216.49,27.08,74.91,17.11,15.69,15.69,10.83,11.48,11.13,11.6,12.97,19.02,11.49,11.39,2.35,2.67,13.67,12.85,8.95,135.26,1.62,27340.25,1291.12,1105.27,2243.38,1851.97,164.84,10.27,67.45,54.67,21.55,21.39,93.28,49.19,97.54,107.33,4943.4,3221.31,2560.16,8.81,14.56,11.3,37.33,12.22,9.23,11.56,6.06,13.35,7.78,12.72,11.86,10.17,19.8,28445.2,976.16,7221.49
14.92,56.97,13.56,7.6,7.05,2.35,1.88,1.53,1.84,3.37,11.65,1.2,10.85,2.22,2.89,9.49,1.6,8.94,57.78,1.71,35537.58,939.47,747.41,1565.06,1246.44,189.09,0.08,24.94,65.67,16.42,10.85,84.05,53.4,112.43,118.05,7371.07,5022.25,2220.32,3.48,3.26,1.01,24.42,2.5,1.53,1.08,1.41,3.27,2.23,1.39,2.17,0.89,17.78,35373.82,731.45,12346.29,24.92,66.97,21.56,17.6,17.05,11.35,11.88,11.53,11.84,13.37,21.65,11.2,10.85,2.22,2.89,9.49,11.6,8.94,67.78,1.71,35547.58,948.47,757.41,1575.06,1254.44,199.09,10.08,34.94,75.67,20.42,20.85,94.05,63.4,122.43,128.05,7381.07,5032.25,2230.32,8.48,13.26,11.01,34.42,12.5,8.53,11.08,6.41,13.27,8.23,11.39,12.17,9.89,27.78,35374.82,736.45,12351.29
17.08,56.94,9.11,5.12,4.56,2.31,1.14,1.28,1.71,2.94,13.27,0.45,5.69,1.35,1.8,6.04,1.71,9.55,39.86,1.75,23116.83,693.47,512.21,1199.58,858.99,167,0.12,31.41,53.67,21.72,9.11,89.32,34.79,94.09,130.45,4015.9,2413.13,1617.47,2.29,5.69,1.71,32.25,2.08,1.96,1.35,1.23,1.53,2.25,2.12,1.95,1.48,17.12,25608.47,490.74,18299.09,27.08,66.94,17.11,15.12,14.56,11.31,11.14,11.28,11.71,12.94,23.27,10.45,5.69,1.35,1.8,6.04,11.71,9.55,49.86,1.75,23126.83,702.47,522.21,1209.58,866.99,177,10.12,41.41,63.67,25.72,19.11,99.32,44.79,104.09,140.45,4025.9,2423.13,1627.47,7.29,15.69,11.71,42.25,12.08,8.96,11.35,6.23,11.53,8.25,12.12,11.95,10.48,27.12,25609.47,495.74,18304.09
7.8,36.72,6.24,3.58,4.59,1.2,0.96,1.68,1.73,2.05,15.01,1.17,11.01,2.31,3.11,4.22,1.84,7.16,91.79,1.3,23250.22,793.19,539.69,1838.44,1020.94,186.26,0.37,42.58,82.28,20.48,16.52,61.06,38.64,73.28,104.06,7701.64,3843.45,2648.38,1.34,5.51,3.76,29.88,6.96,5.03,3.63,1.91,3.49,4.06,6.06,2.76,3,19.01,19228.65,395.15,20099.43,17.8,46.72,14.24,13.58,14.59,10.2,10.96,11.68,11.73,12.05,25.01,11.17,11.01,2.31,3.11,4.22,11.84,7.16,101.79,1.3,23260.22,802.19,549.69,1848.44,1028.94,196.26,10.37,52.58,92.28,24.48,26.52,71.06,48.64,83.28,114.06,7711.64,3853.45,2658.38,6.34,15.51,13.76,39.88,16.96,12.03,13.63,6.91,13.49,10.06,16.06,12.76,12,29.01,19229.65,400.15,20104.43
7.05,42.28,7.05,7.05,7.05,0.54,0.39,1.57,0.39,2.1,7.5,0.59,21.14,5.24,6.78,3.52,0.7,6.03,42.28,1.22,32412.49,392.88,269.01,657.31,467.09,83.24,0.05,44.9,60.58,28.6,11.27,64.04,68.1,97.57,84.46,1227.14,753.71,642.07,7.94,0.42,0.7,7.05,1.88,1.34,0.93,0.62,3.57,1.5,0.73,1.6,0.76,11.41,29092.73,231.47,5520.02,17.05,52.28,15.05,17.05,17.05,9.54,10.39,11.57,10.39,12.1,17.5,10.59,21.14,5.24,6.78,3.52,10.7,6.03,52.28,1.22,32422.49,401.88,279.01,667.31,475.09,93.24,10.05,54.9,70.58,32.6,21.27,74.04,78.1,107.57,94.46,1237.14,763.71,652.07,12.94,10.42,10.7,17.05,11.88,8.34,10.93,5.62,13.57,7.5,10.73,11.6,9.76,21.41,29093.73,236.47,5525.02
5.3,26.5,3.97,1.06,1.32,0.5,0.31,0.72,0.24,0.92,4.97,0.46,5.3,0.58,1.13,1.06,0.21,3.19,18.55,0.44,15897.42,299,193.15,618.13,364.21,58.43,0.03,10.8,44.73,10.77,3.97,46.34,35.01,72.04,87.03,966.46,664.44,353.01,16.91,1.06,0.26,2.65,1.12,1.63,0.4,0.86,1.71,0.7,1.4,1.29,0.35,5.17,17639.51,154.76,5285.88,15.3,36.5,11.97,11.06,11.32,9.5,10.31,10.72,10.24,10.92,14.97,10.46,5.3,0.58,1.13,1.06,10.21,3.19,28.55,0.44,15907.42,308,203.15,628.13,372.21,68.43,10.03,20.8,54.73,14.77,13.97,56.34,45.01,82.04,97.03,976.46,674.44,363.01,21.91,11.06,10.26,12.65,11.12,8.63,10.4,5.86,11.71,6.7,11.4,11.29,9.35,15.17,17640.51,159.76,5290.88
3.42,13.67,2.28,1.71,1.71,1.13,0.59,0.91,0.32,1.1,3.65,0.37,3.42,0.66,0.9,2.73,0.46,3.02,11.39,1.26,17081.4,272.83,188.14,438.9,314.4,72.72,0.06,11.56,10.56,5.69,3.42,27.33,23.91,31.43,40.71,1371.93,781.95,486.96,5.38,1.71,0.57,3.42,0.65,1.12,0.35,0.57,1.1,1.14,0.68,1.23,0.57,7.07,16322.23,96.79,2808.94,13.42,23.67,10.28,11.71,11.71,10.13,10.59,10.91,10.32,11.1,13.65,10.37,3.42,0.66,0.9,2.73,10.46,3.02,21.39,1.26,17091.4,281.83,198.14,448.9,322.4,82.72,10.06,21.56,20.56,9.69,13.42,37.33,33.91,41.43,50.71,1381.93,791.95,496.96,10.38,11.71,10.57,13.42,10.65,8.12,10.35,5.57,11.1,7.14,10.68,11.23,9.57,17.07,16323.23,101.79,2813.94
7.97,39.86,5.69,2.28,2.28,1.11,0.81,1.04,0.9,1.85,7.03,0.66,6.83,1.12,1.36,4.1,1.31,5.65,56.94,1.45,19472.8,399.96,288.03,665.48,453.26,183.36,0.09,16.89,37.97,24.07,7.97,67.81,33.82,77.51,113.07,1792.02,1123.17,784.61,2.64,1.66,0.57,9.11,1.19,1.7,0.54,1.22,2.43,1.41,1.9,1.5,0.52,8,19485.81,336.57,13361.45,17.97,49.86,13.69,12.28,12.28,10.11,10.81,11.04,10.9,11.85,17.03,10.66,6.83,1.12,1.36,4.1,11.31,5.65,66.94,1.45,19482.8,408.96,298.03,675.48,461.26,193.36,10.09,26.89,47.97,28.07,17.97,77.81,43.82,87.51,123.07,1802.02,1133.17,794.61,7.64,11.66,10.57,19.11,11.19,8.7,10.54,6.22,12.43,7.41,11.9,11.5,9.52,18,19486.81,341.57,13366.45
10,50,8,2,4,0.92,0.46,2.15,0.87,2.87,8.56,0.75,10,1.15,1.96,2.31,1.33,7.5,49.9,0.92,20000,836.56,447.89,1898.94,875.06,137.2,0.3,45.03,63.33,23.91,10,71.61,49.15,104.29,111.85,4055.19,1621.8,1053.66,6.25,5.98,2,13.33,1.73,1.33,0.92,0.93,2.97,1.7,1.28,1.19,0.89,11.77,20129.39,363.03,5755.67,20,60,16,12,14,9.92,10.46,12.15,10.87,12.87,18.56,10.75,10,1.15,1.96,2.31,11.33,7.5,59.9,0.92,20010,845.56,457.89,1908.94,883.06,147.2,10.3,55.03,73.33,27.91,20,81.61,59.15,114.29,121.85,4065.19,1631.8,1063.66,11.25,15.98,12,23.33,11.73,8.33,10.92,5.93,12.97,7.7,11.28,11.19,9.89,21.77,20130.39,368.03,5760.67
7.97,34.16,5.69,3.06,2.85,1.37,1.04,1,1.16,1.74,8,0.75,6.83,1.22,1.49,4.04,1.14,5.15,33.02,1.36,19427.82,460.24,292.28,733.59,474.34,162.64,0.08,11.95,36.52,19.66,7.86,73.08,40.42,84.36,110.36,2194.9,1400.25,822.96,2.15,1.14,0.68,10.25,0.92,1.44,0.4,1.1,2.3,1.61,1.54,1.14,0.33,8.09,19982.23,356.92,11376.71,17.97,44.16,13.69,13.06,12.85,10.37,11.04,11,11.16,11.74,18,10.75,6.83,1.22,1.49,4.04,11.14,5.15,43.02,1.36,19437.82,469.24,302.28,743.59,482.34,172.64,10.08,21.95,46.52,23.66,17.86,83.08,50.42,94.36,120.36,2204.9,1410.25,832.96,7.15,11.14,10.68,20.25,10.92,8.44,10.4,6.1,12.3,7.61,11.54,11.14,9.33,18.09,19983.23,361.92,11381.71
4.63,16.66,2.81,1.48,1.85,1.16,0.72,0.89,0.49,1.5,5.22,0.42,3.7,0.81,1.01,2.22,0.65,4.4,25.92,1.25,18511.49,213.83,150.52,354.94,256.13,108.64,0.11,15.81,20.58,7.25,4.63,43.55,31.53,74.19,76.99,1127,806.69,352.16,6.3,0.74,0.46,5.55,0.76,0.91,0.49,0.34,1.16,1.08,0.84,1.04,0.51,6.57,20470.21,173.58,3713.12,14.63,26.66,10.81,11.48,11.85,10.16,10.72,10.89,10.49,11.5,15.22,10.42,3.7,0.81,1.01,2.22,10.65,4.4,35.92,1.25,18521.49,222.83,160.52,364.94,264.13,118.64,10.11,25.81,30.58,11.25,14.63,53.55,41.53,84.19,86.99,1137,816.69,362.16,11.3,10.74,10.46,15.55,10.76,7.91,10.49,5.34,11.16,7.08,10.84,11.04,9.51,16.57,20471.21,178.58,3718.12
2.43,14.59,3.16,3.65,3.65,0.55,0.32,1.65,0.78,1.26,12.28,0.54,13.98,1.98,2.75,4.13,0.73,3.01,24.31,0.54,35965,372.32,231.81,650.44,400.45,43.88,0.06,36.78,34.01,5.8,3.65,55.74,27.16,67.92,63.76,2065.94,1247.73,853.31,4.53,0.73,0.49,6.08,2.41,2.28,0.83,0.92,2.42,0.95,1.08,1.31,0.89,6.62,27820.2,143.65,5833.04,12.43,24.59,11.16,13.65,13.65,9.55,10.32,11.65,10.78,11.26,22.28,10.54,13.98,1.98,2.75,4.13,10.73,3.01,34.31,0.54,35975,381.32,241.81,660.44,408.45,53.88,10.06,46.78,44.01,9.8,13.65,65.74,37.16,77.92,73.76,2075.94,1257.73,863.31,9.53,10.73,10.49,16.08,12.41,9.28,10.83,5.92,12.42,6.95,11.08,11.31,9.89,16.62,27821.2,148.65,5838.04
13.67,56.94,9.11,2.85,2.85,1.77,1.15,0.98,1.09,2.56,8.31,0.8,5.69,1.38,1.88,6.49,1.71,7.54,29.61,1.51,27899.63,907.57,692.75,1595.57,1124.18,91.03,0.27,34.74,51.29,16.17,9.11,80.97,38.02,84.52,93.08,3397.98,2034.26,1252.36,3.61,11.39,2.28,25.62,2.52,2.45,1.29,1.41,2.11,2.08,2.35,1.95,1.52,12.45,26119.6,395.81,8011.99,23.67,66.94,17.11,12.85,12.85,10.77,11.15,10.98,11.09,12.56,18.31,10.8,5.69,1.38,1.88,6.49,11.71,7.54,39.61,1.51,27909.63,916.57,702.75,1605.57,1132.18,101.03,10.27,44.74,61.29,20.17,19.11,90.97,48.02,94.52,103.08,3407.98,2044.26,1262.36,8.61,21.39,12.28,35.62,12.52,9.45,11.29,6.41,12.11,8.08,12.35,11.95,10.52,22.45,26120.6,400.81,8016.99
5.29,23.78,4.7,1.59,2.64,0.7,0.55,0.9,1.45,1.36,4.93,0.75,7.93,0.95,1.83,2.64,0.42,4.5,17.04,0.99,15326.93,303.55,201.01,631.3,428.44,38.36,0.07,25.38,29.06,11.06,3.7,41.46,30.17,69.06,59.95,1255.2,811.33,508.89,11.02,1.59,0.53,6.34,1.95,0.79,1.05,0.73,2,0.95,1,0.88,0.96,6.8,15296.2,166.35,4971.62,15.29,33.78,12.7,11.59,12.64,9.7,10.55,10.9,11.45,11.36,14.93,10.75,7.93,0.95,1.83,2.64,10.42,4.5,27.04,0.99,15336.93,312.55,211.01,641.3,436.44,48.36,10.07,35.38,39.06,15.06,13.7,51.46,40.17,79.06,69.95,1265.2,821.33,518.89,16.02,11.59,10.53,16.34,11.95,7.79,11.05,5.73,12,6.95,11,10.88,9.96,16.8,15297.2,171.35,4976.62
4.81,21.86,4.37,0.9,1.46,0.67,0.46,0.69,0.35,1.26,6.29,0.56,3.5,0.82,1.27,1.46,0.15,3.76,7,1.04,17488.12,254.59,183.05,440.5,339.77,126.43,0.08,9.39,25.13,9.64,5.83,59.75,39.35,90.65,97.43,954.96,625.84,285.73,12.03,1.46,0.17,3.5,0.7,1.41,0.48,0.66,1.37,1.08,1.34,1.39,0.52,5.16,18056.88,194.6,3461.19,14.81,31.86,12.37,10.9,11.46,9.67,10.46,10.69,10.35,11.26,16.29,10.56,3.5,0.82,1.27,1.46,10.15,3.76,17,1.04,17498.12,263.59,193.05,450.5,347.77,136.43,10.08,19.39,35.13,13.64,15.83,69.75,49.35,100.65,107.43,964.96,635.84,295.73,17.03,11.46,10.17,13.5,10.7,8.41,10.48,5.66,11.37,7.08,11.34,11.39,9.52,15.16,18057.88,199.6,3466.19
5.69,28.47,4.1,2.28,2.28,1.8,0.98,0.89,0.63,1.59,5.43,0.65,4.56,0.94,1.2,3.07,1.02,5.67,34.16,1.47,18220.16,334.04,240.09,538.95,381.67,110.21,0.14,28.73,32.59,10.6,4.56,65.17,38.32,78.19,95.13,1674.44,1197.42,526.43,6.22,1.14,0.57,10.25,1.01,1.04,0.52,0.88,1.58,1.37,1.28,1.23,0.67,7.97,19428.51,154.11,9299.88,15.69,38.47,12.1,12.28,12.28,10.8,10.98,10.89,10.63,11.59,15.43,10.65,4.56,0.94,1.2,3.07,11.02,5.67,44.16,1.47,18230.16,343.04,250.09,548.95,389.67,120.21,10.14,38.73,42.59,14.6,14.56,75.17,48.32,88.19,105.13,1684.44,1207.42,536.43,11.22,11.14,10.57,20.25,11.01,8.04,10.52,5.88,11.58,7.37,11.28,11.23,9.67,17.97,19429.51,159.11,9304.88
3.14,15.71,5.24,2.91,3.14,0.55,0.35,0.73,0.45,1.31,7.62,0.62,7.59,1.84,2.31,3.46,0.52,4.87,15.71,1.08,21991.78,326.43,180.36,604.07,319.57,37.82,0.15,30.12,23.66,17.36,5.76,34.69,38.81,73.83,69.52,1570.32,873.87,417.71,5.65,0.73,0.63,3.77,1.27,0.58,0.44,0.37,1.56,1.18,0.48,1.1,0.46,7.99,20810.97,109.66,3153.43,13.14,25.71,13.24,12.91,13.14,9.55,10.35,10.73,10.45,11.31,17.62,10.62,7.59,1.84,2.31,3.46,10.52,4.87,25.71,1.08,22001.78,335.43,190.36,614.07,327.57,47.82,10.15,40.12,33.66,21.36,15.76,44.69,48.81,83.83,79.52,1580.32,883.87,427.71,10.65,10.73,10.63,13.77,11.27,7.58,10.44,5.37,11.56,7.18,10.48,11.1,9.46,17.99,20811.97,114.66,3158.43
2.2,8.79,6.15,2.59,3.37,0.47,0.21,0.64,0.48,1.48,6.91,0.32,6.15,1.92,2.75,1.76,0.18,3.67,8.35,0.95,33812.23,141.03,93.42,279.15,166.27,31.45,0.02,17.52,21.01,11.24,3.52,25.66,31.05,46.69,37.03,1318.7,706.78,203.7,11.63,1.76,0.44,2.64,1.59,0.96,0.39,0.29,1.52,0.78,0.59,0.89,0.49,4.46,49616.84,58.45,1585.7,12.2,18.79,14.15,12.59,13.37,9.47,10.21,10.64,10.48,11.48,16.91,10.32,6.15,1.92,2.75,1.76,10.18,3.67,18.35,0.95,33822.23,150.03,103.42,289.15,174.27,41.45,10.02,27.52,31.01,15.24,13.52,35.66,41.05,56.69,47.03,1328.7,716.78,213.7,16.63,11.76,10.44,12.64,11.59,7.96,10.39,5.29,11.52,6.78,10.59,10.89,9.49,14.46,49617.84,63.45,1590.7
17.08,68.33,8.54,5.12,3.99,2.53,2.11,1.05,1.32,2.75,11.19,0.95,6.49,1.33,2.13,7.86,3.42,9.18,91.1,1.81,27355.87,1103.45,880.66,1890.02,1371.52,175.31,0.17,42.68,32.37,19.98,12.53,93.93,36.09,98.98,133.27,4504.04,3117.64,2590.9,2.48,4.1,2.47,34.16,2.09,1.74,1.39,1.07,3.04,1.96,2.55,1.98,1.48,18.1,27014.88,1566.89,6877.59,27.08,78.33,16.54,15.12,13.99,11.53,12.11,11.05,11.32,12.75,21.19,10.95,6.49,1.33,2.13,7.86,13.42,9.18,101.1,1.81,27365.87,1112.45,890.66,1900.02,1379.52,185.31,10.17,52.68,42.37,23.98,22.53,103.93,46.09,108.98,143.27,4514.04,3127.64,2600.9,7.48,14.1,12.47,44.16,12.09,8.74,11.39,6.07,13.04,7.96,12.55,11.98,10.48,28.1,27015.88,1571.89,6882.59
12.15,57.38,7.43,5.4,5.74,2.09,1.75,1.81,1.46,3.18,6.52,1.27,10.13,3.2,3.42,17.89,2.36,8.43,101.25,1.48,23619.29,994.5,818.09,1632.63,1334.69,118.33,0.3,56.72,40.98,10.04,10.13,71.6,38.79,93.33,108.71,4586.11,3488.33,2419.15,4.86,2.36,1.99,40.5,2.44,2.56,2.09,1.87,3.02,1.84,3.48,1.99,1.75,11.26,20139.17,657.27,12951.95,22.15,67.38,15.43,15.4,15.74,11.09,11.75,11.81,11.46,13.18,16.52,11.27,10.13,3.2,3.42,17.89,12.36,8.43,111.25,1.48,23629.29,1003.5,828.09,1642.63,1342.69,128.33,10.3,66.72,50.98,14.04,20.13,81.6,48.79,103.33,118.71,4596.11,3498.33,2429.15,9.86,12.36,11.99,50.5,12.44,9.56,12.09,6.87,13.02,7.84,13.48,11.99,10.75,21.26,20140.17,662.27,12956.95
